SPO_13,OVP_13,FPO_13,BZO_13,GRUNE_13,FRANK_13,NEOS_13,SONST_13,NW_13,SPO_17,OVP_17,FPO_17,GRUNE_17,NEOS_17,PILZ_17,SONST_17,NW_17
1699,2421,1084,155,888,419,434,129,3178,1862,3037,1521,283,351,314,114,3146
454,254,237,17,69,73,34,8,408,369,330,309,25,36,24,14,457
455,254,171,35,113,64,50,22,422,408,356,264,28,40,74,14,414
332,384,172,23,75,63,30,10,369,312,427,310,24,28,28,16,375
379,347,192,42,95,94,46,7,453,371,484,306,26,37,40,15,382
616,291,278,47,123,104,60,19,679,613,491,387,40,43,71,43,636
354,164,92,11,20,38,9,7,214,331,188,149,7,11,14,11,187
180,368,106,9,53,36,25,8,189,165,394,152,16,27,16,8,170
550,302,302,22,79,87,41,23,463,513,424,406,22,38,22,19,385
323,171,143,25,70,46,29,17,265,304,258,208,13,41,38,10,267
757,205,398,60,142,121,61,27,678,804,414,540,27,64,81,31,604
501,369,208,15,51,53,30,11,277,417,425,278,16,21,24,9,281
365,257,83,6,62,41,20,12,193,325,290,153,21,18,11,10,195
537,516,326,39,136,94,62,16,576,528,622,513,36,46,62,21,536
523,597,317,42,119,90,43,17,559,463,670,487,33,56,40,23,522
256,313,148,17,56,60,20,11,248,241,396,177,15,27,20,4,227
910,203,248,26,124,116,46,19,544,868,308,376,28,51,42,18,532
644,252,243,31,99,98,67,22,475,605,414,416,30,69,40,28,425
520,268,179,31,95,69,38,21,355,469,368,304,32,31,49,18,391
225,188,229,18,54,63,24,5,264,234,253,290,17,44,32,20,273
454,302,129,26,117,60,27,23,358,448,380,190,39,23,51,19,328
84,87,58,5,19,18,4,0,109,92,99,84,4,11,11,3,95
162,141,72,14,16,20,10,5,210,172,192,131,2,13,6,6,130
196,126,80,11,59,35,26,7,205,182,156,136,10,24,23,15,201
259,171,72,13,42,32,8,7,190,235,225,107,4,15,9,12,206
218,120,92,11,17,55,9,2,152,199,141,144,7,5,13,10,171
258,267,136,15,39,76,20,14,288,226,271,248,15,13,16,3,301
153,307,75,7,20,30,14,2,171,121,275,119,13,13,12,2,184
223,252,65,15,47,35,10,5,206,197,279,128,14,9,8,4,194
724,657,311,41,143,131,43,19,942,614,815,479,31,51,48,12,930
187,216,60,13,34,32,10,5,204,166,250,92,21,19,9,7,165
140,247,88,5,22,23,9,2,176,122,229,105,8,9,7,5,184
375,342,195,40,62,143,34,11,486,316,433,361,16,23,46,12,443
278,162,106,14,24,48,7,5,198,227,233,144,2,7,15,9,207
168,36,74,1,16,30,4,2,117,132,60,106,7,4,6,3,111
496,104,155,16,32,74,16,10,338,377,174,288,13,24,10,12,328
274,212,99,1,36,57,20,4,139,215,234,160,6,19,22,6,163
202,200,108,15,37,59,19,6,207,160,252,171,9,15,13,2,190
556,301,222,31,82,137,44,19,656,508,434,395,25,41,49,18,596
377,171,59,9,46,33,11,13,284,393,214,90,13,18,14,3,218
119,260,112,8,21,33,5,3,235,111,284,146,11,6,11,3,180
210,332,164,15,26,62,20,7,287,167,359,247,17,19,18,8,266
91,96,32,3,5,9,6,2,59,73,94,53,1,3,2,3,64
105,82,57,7,19,19,6,4,110,92,90,85,7,14,9,2,92
70,71,7,1,8,6,1,3,50,55,77,17,5,3,3,1,53
164,30,25,3,3,8,2,1,51,76,61,63,2,2,2,0,61
75,54,23,2,1,8,0,1,47,51,60,35,1,0,3,1,55
27,5,1,0,0,1,1,0,17,25,5,6,1,0,0,0,14
52,59,29,4,1,13,3,0,24,45,65,37,0,2,2,0,40
109,58,55,2,11,17,2,2,77,82,84,81,1,7,2,7,76
22,151,28,1,12,9,2,1,63,21,132,46,2,4,6,1,52
123,71,73,11,4,20,6,0,73,118,64,110,2,1,2,3,78
62,148,34,5,10,14,3,0,66,64,149,54,4,4,2,1,55
420,194,207,30,65,121,32,9,432,340,312,334,19,19,26,19,383
190,163,134,18,37,38,6,6,219,163,180,188,11,12,11,5,221
281,180,127,13,33,90,9,5,308,193,214,239,16,13,12,4,286
549,706,623,60,187,192,62,39,1106,466,830,893,63,66,66,28,1090
243,133,175,12,29,64,14,10,249,203,183,237,8,23,12,12,212
302,160,137,9,51,34,8,4,243,245,190,211,14,17,16,10,220
136,209,135,18,26,48,15,10,225,117,210,172,7,11,16,6,239
432,357,232,32,98,121,42,15,490,368,494,391,17,32,48,19,465
434,344,254,40,98,99,21,23,391,353,435,401,31,28,29,23,386
135,168,89,4,24,40,4,5,163,109,174,133,5,3,14,4,159
