lfnr,krnr,agglvl,name,wkr,regbez,agg2833k,agg2833v,krnrv,c25wohn,c25lselb,c25lgewb,c25langs,c25larb,c25lmith,c25iselb,c25igewb,c25iangs,c25iarb,c25imith,c25hselb,c25hangs,c25harb,c25hmith,c25vselb,c25vangs,c25varb,c25vmith,c25gselb,c25ggewb,c25gangs,c25garb,c25gmith,c25dselb,c25dgewb,c25dangs,c25darb,c25dmith,c25dhaus,c25bland,c25bwerk,c25bhand,c25bverw,c25bgsun,c25bhaus,c25selb,c25hsgew,c25anges,c25arbei,c25mith,c25berwt,c25bbrlo,c25pop,c25prot,c25kath,c25juden,c33pop1,c33erwp,c33werwp,c33erwtt,c33erlos,c33brlos,c33aohb,c33waohb,c33land,c33indu,c33hndl,c33dnst,c33haus,c33selb,c33mith,c33beamt,c33angs,c33arbei,c33hsang,c33eloan,c33eloar,c33eloha,c33pop2,c33lv,rwz1,rwz2a,rwz2b,rwz2c,rwz2d,rwz3,rwz4a,rwz4b,rwz4c,rwz5,rwz6,rwz7,rwz8a,rwz8b,rwz8c,rwz8d,rwz9,rwz10a,rwz10b,rwz10c,rwz11,alos30d,alu30d,kru30d,we30d,alos31d,alu31d,kru31d,we31d,alos32d,alu32d,kru32d,we32d
1,1,5,"FRIEDLAND -27/BARTENSTEIN",1,1,0,0,1,43189,2579,0,607,18097,1913,2200,30,644,5116,105,1066,1213,1189,123,332,1109,210,1,184,0,65,89,3,1,1,60,484,0,1286,23196,8065,3591,1652,341,1831,6362,31,3698,25185,2145,38676,4513,42846,40895,1018,139,44638,19395,6422,17178,2217,3784,21459,14273,10858,2720,1734,1165,701,2718,2977,593,1345,8869,676,184,1917,116,44638,22223,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
2,1,8,"BARTENSTEIN",1,1,2,2,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,7885,6952,464,61,8717,3600,1127,2942,658,936,4181,2999,288,1108,814,480,252,542,201,283,561,1105,250,78,549,31,8717,578,7885,7522,4781,359,1423,2039,696,255,49,6057,7770,69645,123,330,326,221,181,1802,131,106,279,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
3,1,8,"DOMNAU",1,1,6,6,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2483,2424,25,12,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2707,879,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4,1,8,"FRIEDLAND I. OSTPR.",1,1,4,4,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3709,3541,77,34,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4323,801,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
5,1,8,"SCHIPPENBEIL",1,1,5,5,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2509,2428,30,31,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2798,433,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
6,1,9,"REST-FRIEDLAND -27/BARTENSTEIN",1,1,6,6,1,43189,2579,0,607,18097,1913,2200,30,644,5116,105,1066,1213,1189,123,332,1109,210,1,184,0,65,89,3,1,1,60,484,0,1286,23196,8065,3591,1652,341,1831,6362,31,3698,25185,2145,38676,4513,26260,25550,422,1,35921,15795,5295,14236,1559,2848,17278,11274,10570,1612,920,685,449,2176,2776,310,784,7764,426,106,1368,85,26093,19532,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
7,2,5,"BRAUNSBERG",1,1,0,0,2,54493,7236,0,385,11410,6259,3375,25,642,7070,190,1477,1957,1475,225,333,1872,381,0,252,0,155,132,4,6,6,42,682,0,1194,25290,11277,5134,2586,543,1924,12679,31,5053,21150,6678,46754,7739,54493,6859,47365,135,56493,25156,10382,22652,2504,6670,24667,15632,13823,3827,2351,1730,921,4424,6216,831,1746,8528,907,254,2135,115,56493,24070,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
8,2,8,"BRAUNSBERG I. OSTPR.",1,1,8,8,2,13893,259,0,191,830,186,1026,16,318,3552,79,587,861,653,94,168,1120,154,0,106,0,55,51,1,0,0,10,93,0,470,1466,4975,2195,1442,213,573,2146,16,2555,5333,360,10864,3029,14031,4229,9666,52,15325,5832,2262,4763,1069,2418,7075,4827,636,1926,974,835,392,816,322,378,805,2058,384,135,930,4,15325,1596,13893,7699,5370,135,538,3345,688,259,53,9676,12992,115160,120,316,299,265,229,3014,166,165,487,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
9,2,8,"FRAUENBURG",1,1,9,9,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2660,193,2459,6,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2951,801,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
10,2,8,"MEHLSACK",1,1,10,10,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4339,548,3745,19,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4555,662,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
11,2,8,"WORMDITT",1,1,11,11,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,6063,813,5188,51,6813,2445,846,1956,489,1195,3173,2157,320,630,543,305,158,399,200,127,397,677,156,41,425,23,6813,566,6063,8845,7247,98,487,1394,760,190,50,3720,5389,47640,106,300,308,286,239,1305,40,49,206,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
12,2,9,"REST-BRAUNSBERG",1,1,12,12,2,40600,6977,0,194,10580,6073,2349,9,324,3518,111,890,1096,822,131,165,752,227,0,146,0,100,81,3,6,6,32,589,0,724,23824,6302,2939,1144,330,1351,10533,15,2498,15817,6318,35890,4710,27400,1076,26307,7,34355,16879,7274,15933,946,3057,14419,8648,12867,1271,834,590,371,3209,5694,326,544,5793,367,78,780,88,26849,20445,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
13,3,5,"ELBING  L",1,1,0,0,3,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
14,3,8,"TOLKEMIT",1,1,0,0,3,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
15,3,9,"REST-ELBING  L",1,1,0,0,3,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
