lfnr,krnr,agglvl,name,wkr,regbez,n206pop,n206wb,n206as,n206us,n206gs,n206dnvp,n206dvp,n206z,n206ddp,n206spd,n206uspd,n206kpd,n206bvpx,n206bbb,n206dmpx,n206ndvx,n206x,n245pop,n245wb,n245as,n245us,n245gs,n245dnvp,n245dvfp,n245dvp,n245z,n245ddp,n245spd,n245kpd,n245bvpx,n245wpx,n245dsp,n245uspd,n245x,n24dpop,n24dwb,n24das,n24dus,n24dgs,n24ddnvp,n24dnsfb,n24ddvp,n24dz,n24dddp,n24dspd,n24dkpd,n24dbvpx,n24dwpx,n24ddszx,n24duspd,n24dx,n285pop,n285wb,n285as,n285us,n285gs,n285spd,n285dnvp,n285zx,n285dvp,n285kpd,n285ddpx,n285wp,n285nsda,n285dbpx,n285dlvx,n285vrp,n285x,n309pop,n309wb,n309as,n309us,n309gs,n309spd,n309dnvp,n309zx,n309kpd,n309dvp,n309dstp,n309wp,n309nsda,n309dlvx,n309kvp,n309csvd,n309x,n327pop,n327wb,n327as,n327us,n327gs,n327spd,n327nsda,n327kpd,n327zx,n327dnvp,n327dvp,n327dlvx,n327dstp,n327wp,n327csvd,n327x,n32npop,n32nwb,n32nas,n32nus,n32ngs,n32nnsda,n32nspd,n32nkpd,n32nzx,n32ndnvp,n32ndvp,n32ndstp,n32ncsvd,n32nwp,n32nvb,n32nx,n333pop,n333wb,n333as,n333us,n333gs,n333nsda,n333spd,n333kpd,n333zx,n333kf,n333dvp,n333csvd,n333dbpx,n333dhp,n333dstp,n333x,agg2024,agg2424,agg2428,agg2830,agg3033,agg2833,agg3032,agg3232,agg3233
1,1,5,FRIEDLAND -27/BARTENSTEIN,1,1,"41,994","22,988","18,976",386,"18,590","7,564","2,129",152,729,"5,921","1,276",813,0,0,6,0,0,"41,994","24,038","19,745",288,"19,457","8,562",862,"1,247",251,608,"5,114","2,225",0,0,260,84,244,"41,994","24,478","19,754",273,"19,481","8,441",656,"1,123",216,541,"6,563",882,0,812,52,25,170,"43,189","25,015","20,572",200,"20,372","7,137","8,818",193,"1,227","1,360",503,358,58,183,0,217,318,"42,842","25,380","19,851",68,"19,783","5,123","5,501",191,"1,994",680,259,176,"4,289",68,0,"1,390",112,"42,842","26,695","22,065",80,"21,985","6,082","8,771","3,249",195,"3,085",172,25,78,11,276,41,"42,842","26,698","20,986",67,"20,919","7,754","6,119","2,413",183,"3,516",244,61,505,14,7,103,"42,842","27,060","23,007",136,"22,871","11,966","5,359","1,423",157,"3,283",160,451,2,0,70,0,0,0,0,0,0,0,1,1,1
2,1,8,BARTENSTEIN,1,1,"7,300","4,489","3,987",86,"3,901","1,130","1,076",112,130,964,189,300,0,0,0,0,0,"7,300","4,261","3,700",57,"3,643","1,468",402,412,141,147,467,524,0,0,58,14,10,"7,300","4,674","3,996",67,"3,929","1,486",312,475,146,120,926,287,0,42,10,2,123,"7,885","5,313","4,367",32,"4,335","1,417","1,424",122,572,361,116,91,17,9,0,89,117,"7,885","5,291","4,389",12,"4,377","1,129","1,059",117,382,294,109,56,900,10,0,303,18,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"7,885","5,735","4,972",30,"4,942","2,360","1,205",392,70,738,57,88,0,0,32,0,2,2,2,2,2,2,0,0,0
3,1,8,DOMNAU,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"2,483","1,655","1,288",4,"1,284",383,123,7,161,45,35,42,368,0,0,111,9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"2,483","1,710","1,496",7,"1,489",824,399,113,8,103,6,32,0,0,4,0,0,0,0,6,3,6,0,0,0
4,1,8,FRIEDLAND I. OSTPR.,1,1,"3,185","1,913","1,519",74,"1,445",343,288,13,93,264,354,89,0,0,1,0,0,"3,185","2,046","1,741",45,"1,696",419,44,259,10,102,740,101,0,0,15,2,4,"3,185","1,959","1,736",21,"1,715",590,17,209,5,110,714,20,0,21,4,1,24,"3,233","2,049","1,714",10,"1,704",725,449,3,219,62,83,86,2,1,0,52,22,"3,709","2,482","2,026",10,"2,016",580,256,14,346,94,40,17,551,3,0,106,9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"3,709","2,748","2,208",16,"2,192","1,140",562,233,13,161,39,24,0,0,20,0,4,4,4,6,4,4,0,0,0
5,1,8,SCHIPPENBEIL,1,1,"2,518","1,499","1,182",19,"1,163",296,252,0,146,422,44,0,0,0,3,0,0,"2,518","1,500","1,209",33,"1,176",654,7,130,4,69,166,117,0,0,25,1,3,"2,518","1,474","1,249",34,"1,215",700,48,127,12,56,194,48,0,24,1,1,4,"2,431","1,539","1,337",21,"1,316",307,565,7,120,145,72,43,4,4,0,26,23,"2,509","1,669","1,449",9,"1,440",254,498,11,208,53,28,10,286,0,0,69,23,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"2,509","1,795","1,613",6,"1,607",895,411,137,14,118,15,10,0,0,7,0,5,5,5,5,5,5,0,0,0
6,1,9,REST-FRIEDLAND -27/BARTENSTEIN,1,1,"28,991","15,087","12,288",207,"12,081","5,795",513,27,360,"4,271",689,424,0,0,2,0,0,"28,991","16,231","13,095",153,"12,942","6,021",409,446,96,290,"3,741","1,483",0,0,162,67,227,"28,991","16,371","12,773",151,"12,622","5,665",279,312,53,255,"4,729",527,0,725,37,21,19,"29,640","16,114","13,154",137,"13,017","4,688","6,380",61,316,792,232,138,35,169,0,50,156,"26,256","14,283","10,699",33,"10,666","2,777","3,565",42,897,194,47,51,"2,184",55,0,801,53,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"26,256","15,072","12,718",77,"12,641","6,747","2,782",548,52,"2,163",43,297,2,0,7,0,6,6,6,6,6,6,0,0,0
7,2,5,BRAUNSBERG,1,1,"54,443","30,789","25,670",677,"24,993",926,"1,234","19,010",514,"1,534","1,392",14,0,0,369,0,0,"54,443","31,384","26,190",429,"25,761","3,895",275,"1,172","17,053",329,"1,540",757,0,0,340,98,302,"54,443","31,902","25,123",271,"24,852","3,887",197,908,"16,469",399,"1,997",434,0,356,40,23,142,"54,493","31,309","25,077",255,"24,822","4,156","3,069","14,103",953,253,434,749,71,49,0,631,354,"54,493","32,642","26,807",95,"26,712","2,579","1,092","16,670","1,122",650,161,"1,014","1,614",807,0,643,360,"54,493","34,635","28,927",106,"28,821","3,191","5,020","1,489","17,376","1,348",89,49,38,66,89,66,"54,493","34,169","26,972",119,"26,853","3,911","3,230","1,588","15,768","1,866",105,37,104,41,27,176,"54,493","33,992","29,351",142,"29,209","8,515","2,785",967,"15,277","1,420",59,120,12,0,54,0,0,0,0,0,0,0,7,7,7
8,2,8,BRAUNSBERG I. OSTPR.,1,1,"13,076","8,500","6,847",232,"6,615",410,784,"3,740",322,658,470,0,0,0,231,0,0,"13,076","8,489","6,824",184,"6,640","1,523",175,392,"3,392",150,609,188,0,0,152,19,40,"13,076","8,670","6,760",103,"6,657","1,146",116,360,"3,606",217,950,44,0,153,18,6,41,"13,893","8,438","7,159",72,"7,087","1,599",740,"3,361",480,68,208,269,19,5,0,178,160,"14,031","8,934","7,673",29,"7,644","1,391",352,"3,672",249,327,84,371,585,17,0,456,140,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"14,031","9,909","8,490",23,"8,467","2,485","1,187",275,"3,992",429,13,55,2,0,29,0,8,8,8,8,8,8,0,0,0
9,2,8,FRAUENBURG,1,1,"2,290","1,456","1,213",51,"1,162",72,13,966,4,43,57,0,0,0,7,0,0,"2,290","1,438","1,231",16,"1,215",214,6,27,892,5,40,6,0,0,16,6,3,"2,290","1,454","1,175",13,"1,162",117,29,35,874,12,75,10,0,6,2,1,1,"2,288","1,487","1,142",12,"1,130",229,80,662,17,15,23,44,6,1,0,1,52,"2,660","1,831","1,513",6,"1,507",82,88,"1,017",107,42,12,44,63,16,0,12,24,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"2,660","1,860","1,659",11,"1,648",440,177,38,952,31,4,2,0,0,4,0,9,9,9,12,9,9,0,0,0
10,2,8,MEHLSACK,1,1,"3,854","2,351","2,108",76,"2,032",7,187,"1,461",72,287,13,0,0,0,5,0,0,"3,888","2,514","2,288",20,"2,268",278,18,174,"1,476",35,182,29,0,0,46,27,3,"3,888","2,630","2,250",20,"2,230",276,22,144,"1,414",27,262,10,0,15,2,2,56,"4,305","2,595","2,089",35,"2,054",450,180,"1,034",110,23,35,80,5,0,0,119,18,"4,339","2,776","2,239",9,"2,230",296,42,"1,293",94,54,19,91,227,32,0,57,25,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"4,339","2,754","2,443",13,"2,430",720,315,127,"1,146",88,7,15,1,0,11,0,10,10,10,10,10,10,0,0,0
